mass,name,position:0,position:1,position:2,velocity:0,velocity:1,velocity:2
4.99094e+13,,-3.66323e+00,4.32247e-02,-2.07199e-01,-6.68971e-04,-8.14614e-03,-1.78194e-03
2.81997e+13,,-3.72561e+00,1.24688e-01,2.81294e-01,-4.46393e-04,-8.17503e-03,-4.81586e-04
7.24161e+13,,-3.46722e+00,-1.16169e+00,-1.53880e+00,1.97261e-03,-7.14180e-03,-1.47791e-03
3.14078e+12,,-4.35455e+00,9.95860e-01,6.38626e-01,-1.39450e-03,-4.99078e-03,-2.03486e-03
2.09344e+14,,-3.76966e+00,-2.46377e+00,-2.67425e-01,4.10571e-03,-6.27346e-03,-4.01506e-04
5.25130e+12,,-1.09714e+00,1.45535e+00,4.14009e-01,-1.27000e-02,-4.68767e-03,-3.23019e-03
1.18351e+13,,1.93675e+00,4.83957e-01,2.85473e-01,3.87073e-04,1.06728e-02,6.34213e-03
1.07878e+14,,-3.38820e+00,-2.45515e+00,1.93421e-01,3.58988e-03,-7.30872e-03,-3.37174e-04
5.84975e+13,,-2.96511e+00,-2.36002e+00,4.04089e-01,5.04395e-03,-5.83281e-03,1.94240e-03
9.48938e+13,,-3.40293e+00,-3.49762e+00,4.99035e-01,3.82571e-03,-5.52648e-03,-9.69703e-04
2.22633e+13,,-3.35364e+00,1.26280e+00,-1.89883e-01,-3.36761e-03,-7.90107e-03,5.99631e-04
4.88946e+13,,-3.31973e+00,-3.48933e-02,-1.88171e-01,-1.12863e-03,-9.34051e-03,-1.81235e-03
2.72626e+13,,-3.56845e+00,-2.99287e-01,4.62741e-03,1.40269e-04,-8.51050e-03,-1.13749e-03
3.07417e+13,,-3.20396e+00,-4.34691e-02,3.32986e-01,-9.79203e-04,-9.61197e-03,5.92447e-04
2.13548e+14,,-3.02880e+00,9.20226e-01,4.07890e-01,-3.64154e-03,-9.86914e-03,-1.06211e-03
7.35916e+13,,-3.69235e+00,-2.00454e+00,-5.36443e-01,3.04865e-03,-7.48577e-03,2.77237e-04
8.78508e+13,,-3.72050e+00,-2.20101e+00,-5.12464e-01,3.35905e-03,-7.04174e-03,-2.80427e-04
1.27712e+14,,-3.46049e+00,-2.69049e+00,2.33872e-01,4.02991e-03,-6.67769e-03,2.11154e-04
9.68108e+13,,-3.20421e+00,2.92129e-01,7.06495e-01,-1.09729e-03,-9.39868e-03,3.61722e-04
2.49191e+14,,2.63682e+00,-4.97007e+00,-6.07572e-01,4.24808e-03,1.70590e-03,-4.81725e-04
9.01042e+13,,-2.15215e+00,-3.00014e+00,1.23920e+00,5.97171e-03,-4.79665e-03,4.77688e-04
6.39212e+12,,-2.13846e+00,4.37488e-01,6.67495e-02,-6.45725e-03,-1.01960e-02,-2.04523e-03
1.84139e+14,,-3.74229e+00,9.00405e-01,-1.72749e+00,-1.61491e-03,-6.78911e-03,-5.31403e-04
3.49058e+13,,-3.39718e+00,-9.23404e-01,3.10568e-01,1.51650e-03,-8.56630e-03,-4.61834e-04
4.58638e+13,,-3.87822e+00,-7.69215e-01,7.29166e-01,1.00763e-03,-7.33868e-03,-1.02489e-03
6.42762e+13,,-3.23566e+00,-1.10847e+00,-4.10603e-01,1.56965e-03,-8.76436e-03,7.99734e-04
4.11702e+13,,-1.24654e+00,-4.10529e+00,-1.68755e+00,5.26865e-03,-2.15382e-03,7.95753e-04
2.38060e+12,,2.01487e+00,1.33901e+00,9.59995e-01,-3.79086e-03,8.73872e-03,2.31454e-03
1.07269e+14,,-2.13400e+00,-2.38382e+00,-5.59636e-01,6.15631e-03,-6.85189e-03,-2.11918e-03
2.85504e+13,,-1.08566e+00,-2.85893e+00,-1.26796e+00,7.77460e-03,-3.84073e-03,-3.14891e-03
4.35580e+13,,-2.97669e+00,4.21889e-01,-1.44010e-01,-1.53332e-03,-9.95045e-03,-2.08498e-03
7.16239e+13,,-1.70010e+00,-2.48690e+00,1.25198e-01,7.96586e-03,-5.40832e-03,-3.16695e-03
1.12668e+15,,4.22329e+00,-1.34421e+00,-2.35811e+00,3.37403e-03,6.89392e-03,1.33931e-03
7.65618e+13,,-3.81083e+00,-1.20909e+00,2.40969e-01,2.40971e-03,-6.83110e-03,1.90882e-03
7.23693e+13,,-2.98802e+00,-1.90098e+00,1.20135e+00,4.34135e-03,-6.34287e-03,2.65339e-03
6.02593e+13,,-3.34743e+00,-1.53946e+00,9.12017e-02,3.73210e-03,-7.23734e-03,-1.61647e-03
